DateTime,Entries,UniqueIPs
1468806963,298,298
1468810563,299,299
1468817764,300,300
1468821364,299,299
1468824963,300,300
1468828563,299,299
1468835764,300,300
1468839363,298,298
1468846563,300,300
1468850164,299,299
1468857364,299,299
1468860963,299,299
1468868164,300,300
1468871763,300,300
1468878963,300,300
1468882563,300,300
1468889763,300,300
1468893364,300,300
1468900565,299,299
1468904164,300,300
1468907763,299,299
1468911363,300,300
1468918563,300,300
1468922164,299,299
1468929364,300,300
1468932963,300,300
1468940163,300,300
1468943764,298,298
1468950964,299,299
1468954563,298,298
1468961764,299,299
1468965364,299,299
1468968964,298,298
1468972563,298,298
1468979764,298,298
1468983363,297,297
1468990565,297,297
1468994163,297,297
1469001364,298,298
1469004964,299,299
1469012163,299,299
1469015764,298,298
1469022964,298,298
1469026564,298,298
1469030164,297,297
1469033763,298,298
1469040964,300,300
1469044563,300,300
1469051764,300,300
1469055368,300,300
1469062563,300,300
1469066164,300,300
1469073363,300,300
1469076963,300,300
1469084163,300,300
1469087763,300,300
1469094964,300,300
1469098563,300,300
1469105764,300,300
1469109364,300,300
1469116563,300,300
1469120163,300,300
1469127364,300,300
1469130964,300,300
1469138164,300,300
1469141763,300,300
1469148965,300,300
1469152564,300,300
1469156163,300,300
1469159763,299,299
1469163364,299,299
1469170564,299,299
1469174164,300,300
1469181364,300,300
1469184965,300,300
1469192164,300,300
1469195764,298,298
1469202963,298,298
1469206563,298,298
1469213764,300,300
1469217363,300,300
1469224563,299,299
1469228164,299,299
1469235363,299,299
1469238964,300,300
1469246164,300,300
1469249765,300,300
1469256964,300,300
1469260564,300,300
1469267764,300,300
1469271363,300,300
1469278564,299,299
1469282163,299,299
1469289363,299,299
1469292964,298,298
1469300164,299,299
1469303763,300,300
1469310963,299,299
1469314564,298,298
1469321763,298,298
1469325363,297,297
1469332563,298,298
1469336164,297,297
1469343364,297,297
1469346964,298,298
1469354164,300,300
1469357764,299,299
1469364964,298,298
1469368564,299,299
1469375765,298,298
1469379364,299,299
1469382963,300,300
1469386563,300,300
1469390163,300,300
1469397364,300,300
1469400963,300,300
1469408163,300,300
1469411764,300,300
1469415363,299,299
1469418963,299,299
1469422564,299,299
1469429764,300,300
1469433364,300,300
1469440564,299,299
1469444163,299,299
1469451364,299,299
1469454964,299,299
1469462164,299,299
1469465763,298,298
1469472964,300,300
1469476563,300,300
1469483765,300,300
1469487364,299,299
1469494564,300,300
1469498168,300,300
1469505365,299,299
1469508963,299,299
1469516163,300,300
1469519763,300,300
1469526963,300,300
1469530563,299,299
1469537763,299,299
1469541364,298,298
1469548564,299,299
1469552163,300,300
1469559364,300,300
1469562965,299,299
1469570164,300,300
1469573763,300,300
1469580964,300,300
1469584564,300,300
1469591763,300,300
1469595364,300,300
1469602563,299,299
1469606164,299,299
1469613363,300,300
1469616964,300,300
1469624164,300,300
1469627763,300,300
1469634964,300,300
1469638563,300,300
1469645764,299,299
1469649364,300,300
1469656563,298,298
1469660163,297,297
1469667363,297,297
1469670964,299,299
1469678163,298,298
1469681764,298,298
1469688963,299,299
1469692563,300,300
1469699764,300,300
1469703363,300,300
1469710564,299,299
1469714163,299,299
1469721365,298,298
1469724963,298,298
1469732164,297,297
1469735764,299,299
1469742963,299,299
1469746564,297,297
1469753764,298,298
1469757364,299,299
1469764564,299,299
1469768163,299,299
1469775363,300,300
1469778963,300,300
1469786163,300,300
1469789763,300,300
1469796963,300,300
1469800564,300,300
1469807765,300,300
1469811364,298,298
1469818564,299,299
1469822164,300,300
1469829363,299,299
1469832963,300,300
1469840164,300,300
1469843763,300,300
1469850963,300,300
1469854564,300,300
1469861763,299,299
1469865364,300,300
1469872564,300,300
1469876163,300,300
1469883365,298,298
1469886963,297,297
1469894163,298,298
1469897763,298,298
1469904963,300,300
1469908564,300,300
1469915764,299,299
1469919363,300,300
1469926563,299,299
1469930164,299,299
1469937364,300,300
1469940964,300,300
1469948163,300,300
1469951764,300,300
1469958963,300,300
1469962566,300,300
1469969763,300,300
1469973364,300,300
1469980563,300,300
1469984164,299,299
1469991366,299,299
1469994963,298,298
1470002163,299,299
1470005763,299,299
1470012963,298,298
1470016563,298,298
1470023764,299,299
1470027363,300,300
1470034563,298,298
1470038165,300,300
1470045364,300,300
1470048964,299,299
1470056164,300,300
1470059764,299,299
1470066963,300,300
1470070563,299,299
1470074163,300,300
1470077764,299,299
1470084965,299,299
1470088564,300,300
1470095764,300,300
1470099363,300,300
1470106563,300,300
1470110163,299,299
1470117365,300,300
1470120963,300,300
1470124564,299,299
1470128164,300,300
1470135363,300,300
1470138963,299,299
1470146163,300,300
