DateTime,AddedIPs,RemovedIPs
1467536163,42,4
1467543365,49,16
1467546964,18,0
1467554164,20,16
1467557764,13,10
1467564964,10,6
1467568564,4,14
1467575764,16,14
1467579364,3,9
1467586563,10,29
1467590163,16,10
1467593764,1,0
1467597365,1,29
1467600964,5,0
1467604563,9,15
1467608164,6,42
1467611764,10,5
1467618964,12,42
1467622563,8,0
1467629764,17,26
1467633363,6,27
1467640564,16,0
1467644164,5,21
1467647763,7,16
1467651364,9,7
1467658564,20,4
1467662163,3,5
1467665764,6,0
1467669363,12,8
1467676564,10,18
1467680163,1,4
1467687367,6,7
1467690963,5,6
1467698163,9,13
1467701764,14,11
1467708964,17,0
1467712564,12,29
1467719763,23,0
1467723363,16,9
1467730563,21,17
1467734164,11,0
1467741363,10,22
1467744963,11,16
1467752164,8,8
1467755764,3,19
1467762964,10,0
1467766563,2,9
1467773763,7,25
1467777364,3,17
1467784564,9,0
1467788163,11,24
1467795364,12,0
1467798965,12,22
1467806164,20,9
1467809763,18,0
1467816963,16,24
1467820564,18,0
1467827763,12,19
1467831364,11,12
1467838564,8,3
1467842164,13,0
1467849363,16,23
1467852963,1,3
1467856564,0,9
1467860163,4,13
1467867363,10,6
1467870964,7,11
1467878163,1,6
1467885364,14,22
1467888965,13,5
1467896164,8,0
1467899764,17,0
1467906964,11,0
1467910563,7,11
1467917764,18,15
1467921364,4,5
1467928563,13,14
1467932164,10,11
1467939363,5,8
1467942964,1,16
1467950164,5,1
1467953763,4,10
1467960964,20,10
1467964564,6,24
1467971764,10,0
1467975364,6,14
1467982564,6,13
1467986164,4,0
1467993364,19,8
1467996964,5,23
1468004163,13,7
1468007764,16,9
1468014964,7,8
1468018564,8,0
1468025763,2,11
1468029366,2,10
1468036564,4,7
1468040164,5,11
1468047363,7,7
1468050963,5,9
1468058164,3,5
1468061765,5,5
1468068965,8,5
1468072563,7,12
1468076165,12,4
1468079764,6,20
1468086963,19,0
1468090563,6,7
1468097763,11,12
1468101364,11,0
1468108563,10,7
1468112163,1,6
1468119364,2,7
1468122964,6,5
1468130164,3,8
1468133763,17,7
1468140964,55,6
1468144564,17,9
1468151764,14,3
1468155364,8,9
1468162563,10,6
1468166163,4,5
1468173364,5,3
1468176964,7,10
1468180564,15,4
1468184163,21,11
1468187764,27,0
1468191363,26,3
1468198564,11,8
1468202163,7,6
1468209364,8,9
1468212963,6,3
1468220163,19,7
1468223763,6,0
1468230964,14,15
1468234564,11,8
1468241764,13,7
1468245365,9,7
1468252564,18,5
1468256164,8,4
1468263364,21,9
1468266964,8,4
1468274164,11,8
1468277763,9,5
1468281363,9,0
1468284963,1,14
1468292164,6,7
1468295765,7,7
1468299364,4,10
1468302964,8,3
1468310164,11,4
1468313764,8,0
1468324563,19,18
1468328164,13,9
1468335364,61,8
1468338964,15,7
1468346164,39,9
1468349763,24,6
1468356963,11,4
1468360563,11,9
1468367763,12,6
1468371363,10,7
1468378563,8,5
1468382164,8,8
1468389364,6,8
1468392964,9,6
1468396564,9,4
1468400163,4,0
1468403764,8,15
1468410963,14,3
1468414563,18,8
1468421763,36,8
1468425363,11,20
1468432563,19,5
1468436164,13,9
1468443363,7,7
1468446964,10,11
1468454164,12,4
1468457763,1,12
1468464964,7,5
1468468563,3,8
1468475764,9,6
1468479363,3,7
1468486563,10,3
1468490164,19,9
1468497363,34,4
1468500964,14,9
1468508164,21,9
1468511764,14,5
1468518964,44,17
1468522563,15,4
1468529764,15,10
1468533363,13,7
1468540564,3,2
1468544164,3,9
1468551363,16,0
1468554964,8,6
1468562164,20,4
1468565765,4,4
1468572964,10,9
1468576563,10,18
1468583764,12,1
1468587364,3,5
1468594563,17,1
1468598164,12,4
1468605363,22,5
1468608964,12,9
1468612564,7,6
1468616163,5,0
1468623364,18,14
1468626964,6,0
1468634164,3,17
1468637763,3,0
1468644964,7,8
1468648564,8,10
1468655763,13,8
1468659364,7,6
1468666564,7,13
1468670164,7,4
1468677364,37,8
1468680964,15,7
1468688163,18,7
1468691763,4,0
1468698964,11,6
1468702563,2,6
1468709763,12,6
1468713363,8,6
1468720563,5,8
1468724164,4,6
1468731364,9,10
1468734963,3,6
1468742164,14,9
1468745768,2,4
1468752965,9,10
1468756564,5,10
1468763763,13,11
1468767365,9,3
1468774563,14,13
1468778164,9,8
1468785364,13,2
1468788964,3,10
1468796164,9,8
1468799764,7,0
1468806963,5,13
1468810563,1,2
1468817764,5,7
1468821364,5,1
1468824963,3,0
1468828563,4,5
1468835764,16,6
1468839363,8,6
1468846563,14,8
1468850164,5,5
1468857364,11,2
1468860963,6,10
1468868164,15,6
1468871763,2,4
1468878963,5,9
1468882563,7,4
1468889763,1,3
1468893364,0,5
1468900565,3,3
1468904164,4,6
1468907763,6,7
1468911363,1,6
1468918563,11,6
1468922164,8,0
1468929364,8,10
1468932963,5,0
1468940163,19,9
1468943764,6,16
1468950964,14,0
1468954563,6,17
1468961764,7,6
1468965364,8,9
1468968964,11,0
1468972563,8,3
1468979764,2,14
1468983363,2,5
1468990565,8,10
1468994163,3,10
1469001364,9,7
1469004964,7,10
1469012163,10,21
1469015764,3,5
1469022964,14,2
1469026564,9,13
1469030164,3,0
1469033763,6,9
1469040964,11,8
1469044563,3,5
1469051764,12,9
1469055368,13,5
1469062563,3,9
1469066164,2,6
1469073363,2,7
1469076963,4,3
1469084163,11,14
1469087763,9,4
1469094964,18,6
1469098563,12,8
1469105764,20,16
1469109364,7,9
1469116563,19,18
1469120163,16,0
1469127364,12,17
1469130964,7,0
1469138164,17,19
1469141763,9,0
1469148965,6,18
1469152564,3,0
1469156163,2,14
1469159763,7,13
1469163364,0,13
1469170564,3,5
1469174164,5,0
1469181364,4,6
1469184965,9,26
1469192164,14,0
1469195764,11,13
1469202963,5,27
1469206563,7,0
1469213764,14,12
1469217363,10,8
1469224563,13,0
1469228164,3,15
1469235363,4,0
1469238964,5,19
1469246164,13,0
1469249765,1,18
1469256964,2,0
1469260564,4,21
1469267764,9,0
1469271363,3,25
1469278564,4,2
1469282163,13,0
1469289363,13,13
1469292964,7,8
1469300164,6,3
1469303763,7,8
1469310963,9,7
1469314564,8,9
1469321763,12,14
1469325363,4,5
1469332563,5,7
1469336164,10,7
1469343364,14,13
1469346964,6,4
1469354164,16,16
1469357764,6,8
1469364964,6,19
1469368564,4,8
1469375765,19,10
