DateTime,Entries,UniqueIPs
1469340179,2870,2941
1469343777,2865,2936
1469351037,2865,2936
1469354635,2868,2939
1469358187,2870,2941
1469361406,2872,2943
1469365432,2866,2937
1469372205,2867,2938
1469376170,2866,2937
1469379770,2872,2943
1469382699,2871,2942
1469383368,2869,2940
1469386967,2869,2940
1469390566,2871,2942
1469393799,2872,2943
1469397765,2867,2938
1469401363,2874,2945
1469404230,2873,2944
1469408623,2873,2944
1469412160,2873,2944
1469415393,2877,2948
1469419419,2874,2945
1469422957,2875,2946
1469430216,2876,2947
1469433815,2873,2944
1469436500,2876,2947
1469437353,2875,2946
1469440952,2873,2944
1469444612,2878,2949
1469447601,2877,2948
1469451817,2885,2956
1469455409,2887,2958
1469458643,2888,2959
1469462546,2888,2959
1469466146,2889,2960
1469469074,2891,2962
1469473405,2893,2964
1469476942,2892,2963
1469479688,2893,2964
1469484203,2892,2963
1469487800,2898,2969
1469491033,2898,2969
1469494998,2896,2967
1469498597,2898,2969
1469501830,2897,2968
1469505795,2899,2970
1469509333,2900,2971
1469512078,2903,2974
1469516592,2904,2975
1469520191,2905,2976
1469523424,2907,2978
1469527396,2908,2979
1469530989,2908,2979
1469533916,2910,2981
1469534588,2906,2977
1469538187,2907,2978
1469541786,2907,2978
1469545079,2908,2979
1469548983,2908,2979
1469552582,2910,2981
1469556181,2911,2982
1469559780,2909,2980
1469563379,2911,2982
1469566124,2909,2980
1469566978,2908,2979
1469570578,2906,2977
1469574177,2912,2983
1469576861,2914,2985
1469581435,2913,2984
1469584974,2909,2980
1469587657,2913,2984
1469592171,2914,2985
1469595771,2912,2983
1469598454,2914,2985
1469602968,2918,2989
1469605379,2920,2991
1469610197,2918,2989
1469617395,2919,2990
1469620994,2920,2991
1469624166,2921,2992
1469628194,2919,2990
1469631791,2922,2993
1469634902,2924,2995
1469638996,2928,2999
1469642589,2927,2998
1469645089,2930,3001
1469649787,2926,2997
1469653386,2925,2996
1469655886,2928,2999
1469656985,2926,2997
1469660583,2929,3000
1469664182,2930,3001
1469666683,2928,2999
1469671381,2921,2993
1469674979,2924,2996
1469677480,2920,2992
1469682178,2919,2991
1469685777,2923,2995
1469688277,2924,2996
1469689376,2922,2994
1469692975,2922,2994
1469696574,2922,2994
1469699074,2923,2995
1469703772,2921,2994
1469707371,2923,2997
1469709871,2922,2996
1469711031,2920,2993
1469714569,2922,2995
1469718169,2927,3000
1469720730,2928,3001
1469725366,2928,3001
1469731526,2930,3003
1469732564,2929,3002
1469736230,2932,3005
1469739761,2935,3008
1469742323,2941,3014
1469743421,2940,3013
1469746960,2942,3015
1469750577,2944,3017
1469754165,2944,3017
1469757756,2937,3010
1469760379,2941,3014
1469764955,2936,3009
1469768553,2942,3015
1469771177,2944,3017
1469772214,2941,3014
1469775753,2938,3011
1469779413,2939,3012
1469782522,2941,3014
1469786610,2939,3012
1469790148,2940,3013
1469793319,2941,3014
1469797406,2933,3005
1469801006,2931,3003
1469803568,2932,3004
1469808276,2937,3009
1469811802,2939,3011
1469814487,2942,3014
1469818940,2944,3016
1469822599,2944,3016
1469825710,2943,3015
1469829798,2942,3014
1469833397,2943,3015
1469836569,2945,3017
1469840596,2943,3015
1469844195,2942,3014
1469847427,2945,3017
1469851392,2940,3012
1469854992,2937,3009
1469858163,2942,3015
1469862190,2939,3012
1469865788,2938,3011
1469868960,2935,3008
1469872986,2932,3005
1469876587,2938,3011
1469879330,2939,3012
1469883784,2940,3013
1469887382,2940,3012
1469890554,2945,3017
1469894580,2944,3016
1469898179,2943,3015
1469901779,2941,3012
1469905376,2936,3007
1469909233,2938,3009
1469916173,2941,3012
1469919772,2940,3011
1469922334,2938,3009
1469926971,2940,3011
1469930631,2941,3012
1469933132,2931,3001
1469937769,2927,2997
1469941368,2929,2999
1469944051,2929,2999
1469948565,2931,3001
1469954787,2932,3002
1469959363,2931,3001
1469963022,2933,3003
1469965584,2934,3004
1469970159,2935,3005
1469973758,2939,3007
1469976381,2938,3006
1469981016,2938,3006
1469984626,2934,3002
1469987178,2932,3000
1469991814,2938,3006
1469995413,2939,3007
1470002551,2937,3005
1470006150,2934,3002
1470008833,2937,3005
1470009809,2936,3004
1470013408,2938,3006
1470016946,2935,3003
1470019569,2939,3007
1470024214,2938,3005
1470027804,2937,3004
1470030366,2941,3008
1470035002,2937,3004
1470038601,2936,3003
1470042201,2935,3002
1470045799,2936,3003
1470049399,2936,3003
1470052082,2934,3003
1470056596,2935,3004
1470060135,2935,3004
1470063734,2939,3008
1470067332,2937,3006
1470070993,2938,3007
1470074592,2940,3009
1470078190,2944,3013
1470081423,2947,3016
1470085389,2945,3014
1470088986,2939,3008
1470092220,2943,3012
1470096184,2943,3012
1470099783,2943,3012
1470102470,2945,3014
1470103382,2946,3015
1470106981,2944,3013
1470110581,2946,3015
1470114187,2942,3011
1470117782,2941,3010
1470121377,2940,3009
1470124610,2942,3011
1470128575,2941,3010
1470130015,2942,3011
1470132208,2940,3009
1470135747,2943,3012
1470137393,2946,3015
1470142945,2948,3017
1470146544,2951,3020
1470148739,2950,3019
1470153936,2951,3020
1470157340,2957,3026
